Fiscal Year,Region,Country,Project ID,Project Name,URL,TTL,Lending Instrument,Sector Board,Product Line,IDA Education Commitments (US$M),IBRD Education Commitments (US$M),Other Financing for Education,Total Commitments for Education (US$M),Education as % of Total Commitment
FY12,South Asia,India,P118445,Secondary Education Project,http://www.worldbank.org/projects/P118445?lang=en,"Linden,Tobias",Specific Investment Loan,Education,IBRD/IDA,500,0,0,500,100%
FY12,South Asia,Pakistan,P125958,Second Punjab Education Sector Project,http://www.worldbank.org/projects/P125958?lang=en,"Waheed,Huma Ali",Specific Investment Loan,Education,IBRD/IDA,350,0,0,350,100%
FY12,South Asia,Sri Lanka,P113488,Transforming The School Education System As The Foundation Of A Knowledge Hub,http://www.worldbank.org/projects/P113488?lang=en,"Aturupane,Harsha",Specific Investment Loan,Education,IBRD/IDA,100,0,0,100,100%
FY11,Africa,Africa,P112623,CORAF Trust Fund,http://www.worldbank.org/projects/P112623?lang=en,"Toure,Abdoulaye",Specific Investment Loan,Agriculture,Recipient Executed Activities,0,0,4.84,4.84,14%
FY11,Africa,Burkina Faso,P119413,Fast Track Initiative Grant II For Basic Education,http://www.worldbank.org/projects/P119413?lang=en,"Ouedraogo,Adama",Development Policy Lending,Education,Recipient Executed Activities,0,0,45,45,100%
FY11,Africa,Burkina Faso,P124648,Mineral Development Support Project,http://www.worldbank.org/projects/P124648?lang=en,"Bocoum,Boubacar",Technical Assistance Loan,Energy & Extractives,IBRD/IDA,1.98,0,0,1.98,6%
FY11,Africa,Cameroon,P116437,Education For All-Fast Track Initiative,http://www.worldbank.org/projects/P116437?lang=en,"Sosale,Shobhana",Specific Investment Loan,Education,Recipient Executed Activities,0,0,24.8,24.8,100%
FY11,Africa,Chad,P113030,Local Development Program Support Project II,http://www.worldbank.org/projects/P113030?lang=en,"Ehoue,Bleoue Nicaise",Adaptable Program Loan,"Social, Urban, Rural and Resilience Global Practice",IBRD/IDA,3.75,0,0,3.75,15%
FY11,Africa,"Congo, Democratic Republic of",P106982,Growth With Governance In The Mineral Sector,http://www.worldbank.org/projects/P106982?lang=en,"Igualada Delgado,Francisco",Technical Assistance Loan,Energy & Extractives,IBRD/IDA,0.5,0,0,0.5,1%
FY11,Africa,"Congo, Democratic Republic of",P125656,Belgian Muti-Donor Trust Fund For Finacing Teachers Salaries,http://www.worldbank.org/projects/P125656?lang=en,"Radji,Rachidi B.",Specific Investment Loan,Education,Recipient Executed Activities,0,0,20,20,100%
FY11,Africa,Ethiopia,P119064,Ethiopian Diaspora Health and Education Pofessionals Mobilization Project,http://www.worldbank.org/projects/P119064?lang=en,"Anani,Kofi",Learning and Innovation Loan,Recipient Executed Activities,"Health, Nutrition & Population",0,0,0,0,30%
FY11,Africa,Ethiopia,P121727,Protection Of Basic Services Phase 2 Project Additional Financing,http://www.worldbank.org/projects/P121727?lang=en,"Chase,Robert S.",Specific Investment Loan,Social Protection & Labor,IBRD/IDA,222.6,0,0,222.6,53%
FY11,Africa,"Gambia, The",P121509,Rapid Response Nutrition Security Improvement Project,http://www.worldbank.org/projects/P121509?lang=en,"Mulder-Sibanda,Menno",Emergency Recovery Loan,"Health, Nutrition & Population",Recipient Executed Activities,0,0,0.3,0.3,10%
FY11,Africa,Ghana,P118112,Skills And Technology Development Project,http://www.worldbank.org/projects/P118112?lang=en,"Darvas,Peter",Specific Investment Loan,Education,IBRD/IDA,37.8,0,0,37.8,54%
FY11,Africa,Ghana,P120005,Gas And Oil Capacity Building Project,http://www.worldbank.org/projects/P120005?lang=en,"Santley,David John",Technical Assistance Loan,Energy & Extractives,IBRD/IDA,10.64,0,0,10.64,28%
FY11,Africa,Guinea-Bissau,P123685,Economic Governance Reform Grant III,http://www.worldbank.org/projects/P123685?lang=en,"Blanco Cossio,Fernando Andres",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,0.7,0,0,0.7,11%
FY11,Africa,Liberia,P117662,Global Partnership For Education Grant For Basic Education Project,http://www.worldbank.org/projects/P117662?lang=en,"Sumerfield,Douglas",Specific Investment Loan,Education,Recipient Executed Activities,0,0,40,40,100%
FY11,Africa,Malawi,P120825,Mining Governance And Growth Support Project,http://www.worldbank.org/projects/P120825?lang=en,"Lokanc,Martin",Specific Investment Loan,Energy & Extractives,IBRD/IDA,1.5,0,0,1.5,6%
FY11,Africa,Malawi,P126025,Inclusive Education For Disabled Children,http://www.worldbank.org/projects/P126025?lang=en,"Sankar,Deepa",Technical Assistance Loan,Education,Recipient Executed Activities,0,0,1.83,1.83,100%
FY11,Africa,Mali,P112821,Governance And Budget Decentralization Technical Assistance Project,http://www.worldbank.org/projects/P112821?lang=en,"Mallberg,Michel Ragnvald",Technical Assistance Loan,Governance,IBRD/IDA,1.2,0,0,1.2,10%
FY11,Africa,Mali,P121057,Additional Financing For Mali Rural Community Development Project,http://www.worldbank.org/projects/P121057?lang=en,"Ehoue,Bleoue Nicaise",Specific Investment Loan,"Social, Urban, Rural and Resilience Global Practice",IBRD/IDA,2.46,0,0,2.46,22%
FY11,Africa,Mali,P124612,Piloting Effective Early Childhood Development Services In Mali,http://www.worldbank.org/projects/P124612?lang=en,"Kamano,Pierre Joseph",Learning and Innovation Loan,Education,Recipient Executed Activities,0,0,1,1,50%
FY11,Africa,Mauritania,P118974,Skills Development Support Project,http://www.worldbank.org/projects/P118974?lang=en,"Appasamy,Irajen",Specific Investment Loan,Education,IBRD/IDA,16,0,0,16,100%
FY11,Africa,Mauritania,P124859,Second Additional Financing To The Second Mining Sector Capacity Building Project,http://www.worldbank.org/projects/P124859?lang=en,"Larsen,Morten",Technical Assistance Loan,Energy & Extractives,IBRD/IDA,1.07,0,0,1.07,15%
FY11,Africa,Mozambique,P125127,Education Sector Support Program,http://www.worldbank.org/projects/P125127?lang=en,"Caillaud,Fadila",Specific Investment Loan,Education,IBRD/IDA,71,0,0,71,100%
FY11,Africa,Nigeria,P103499,Growth & Employment,http://www.worldbank.org/projects/P103499?lang=en,"Wong,Michael D.",Specific Investment Loan,Trade & Competitiveness,IBRD/IDA,4.8,0,0,4.8,3%
FY11,Africa,Nigeria,P121616,LSMS-ISA Nigeria General Household Survey-Panel Component,http://www.worldbank.org/projects/P121616?lang=en,"Oseni,Gbemisola O.",Technical Assistance Loan,Recipient Executed Activities,Other,0,0,0.22,0.22,10%
FY11,Africa,Rwanda,P116360,Promoting Economic Empowerment Of Adolescent Girls And Young,http://www.worldbank.org/projects/P116360?lang=en,"Kajubi,Gibwa A.",Technical Assistance Loan,"Social, Urban, Rural and Resilience Global Practice",Recipient Executed Activities,0,0,2.43,2.43,90%
FY11,Africa,Rwanda,P117495,Seventh Poverty Reduction Support Grant,http://www.worldbank.org/projects/P117495?lang=en,"Hansl,Birgit",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,13.57,0,0,13.57,13%
FY11,Africa,Rwanda,P118101,Skills Development Project,http://www.worldbank.org/projects/P118101?lang=en,"Saeki,Hiroshi",Specific Investment Loan,Education,IBRD/IDA,30,0,0,30,100%
FY11,Africa,Senegal,P121178,Poverty Reduction Support Credi 5,http://www.worldbank.org/projects/P121178?lang=en,"Ndione,Mamadou",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,8.4,0,0,8.4,20%
FY11,Africa,Senegal,P123673,Tertiary Education Governance And Financing For Results,http://www.worldbank.org/projects/P123673?lang=en,"Seck,Atou",Specific Investment Loan,Education,IBRD/IDA,101.3,0,0,101.3,100%
FY11,Africa,Sudan,P122569,Peacebuilding For Development SPF Grant,http://www.worldbank.org/projects/P122569?lang=en,"Fraiji,Abderrahim",Emergency Recovery Loan,"Social, Urban, Rural and Resilience Global Practice",Recipient Executed Activities,0,0,0.84,0.84,20%
FY11,Africa,Togo,P116384,Education For All-Fast Track Initiative Program,http://www.worldbank.org/projects/P116384?lang=en,"Gbaye,Hyacinthe",Specific Investment Loan,Education,Recipient Executed Activities,0,0,45,45,100%
FY11,Africa,Uganda,P101232,Eighth Poverty Reduction Support Credit,http://www.worldbank.org/projects/P101232?lang=en,"Dobronogov,Anton",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,11,0,0,11,11%
FY11,Africa,Uganda,P129573,Improving Learning In Uganda,http://www.worldbank.org/projects/P129573?lang=en,"Mulindwa,Innocent",Technical Assistance Loan,Education,Recipient Executed Activities,0,0,0.67,0.67,100%
FY11,East Asia & Pacific,Cambodia,P106605,Higher Education Quality And Capacity Improvement Project,http://www.worldbank.org/projects/P106605?lang=en,"Fukao,Tsuyoshi",Specific Investment Loan,Education,IBRD/IDA,23,0,0,23,100%
FY11,East Asia & Pacific,China,P120234,Shandong Confucius And Mencius Culture Heritage Protection and Development Project,http://www.worldbank.org/projects/P120234?lang=en,"Zhang,Yan",Specific Investment Loan,"Social, Urban, Rural and Resilience Global Practice",IBRD/IDA,0,7.5,0,7.5,15%
FY11,East Asia & Pacific,Indonesia,P118150,Scholarships Prog. For Strengthening Reforming Institutions,http://www.worldbank.org/projects/P118150?lang=en,"Ariadharma,Erwin",Specific Investment Loan,Governance,IBRD/IDA,0,33.8,0,33.8,30%
FY11,East Asia & Pacific,Indonesia,P122032,"Additional Financing Of PNPM Rural III For Generasi (COMM, CCT) Scaling-up Program",http://www.worldbank.org/projects/P122032?lang=en,"Wrobel,Robert",Specific Investment Loan,"Social, Urban, Rural and Resilience Global Practice",Recipient Executed Activities,0,0,12.65,12.65,33%
FY11,East Asia & Pacific,Indonesia,P125019,Consolidating Peaceful Development in Aceh (CPDA) Community Ranger Program Project ,http://www.worldbank.org/projects/P125019?lang=en,"Antlov,Hans",Technical Assistance Loan,"Social, Urban, Rural and Resilience Global Practice",Recipient Executed Activities,0,0,1.56,1.56,60%
FY11,East Asia & Pacific,Indonesia,P125020,Consolidating Peaceful Development in Aceh (CPDA) Local Capacity Research,http://www.worldbank.org/projects/P125020?lang=en,"Morel,Adrian",Technical Assistance Loan,"Social, Urban, Rural and Resilience Global Practice",Recipient Executed Activities,0,0,0.32,0.32,60%
FY11,East Asia & Pacific,Indonesia,P126423,Third National Program For Community Empowerment,http://www.worldbank.org/projects/P126423?lang=en,"Satria,Sentot Surya",Specific Investment Loan,"Social, Urban, Rural and Resilience Global Practice",Recipient Executed Activities,0,0,7.19,7.19,22%
FY11,East Asia & Pacific,Indonesia,P126424,Peduli - National Program for Community Empowerment Mandiri Project,http://www.worldbank.org/projects/P126424?lang=en,"Hayward,Natasha",Specific Investment Loan,"Social, Urban, Rural and Resilience Global Practice",Recipient Executed Activities,0,0,1.53,1.53,20%
FY11,East Asia & Pacific,Lao People's Democratic Republic,P114609,Catalytic Fund EFA/FTI,http://www.worldbank.org/projects/P114609?lang=en,"Inthaxoum,Boun Oum",Specific Investment Loan,Education,Recipient Executed Activities,0,0,24,24,80%
FY11,East Asia & Pacific,Papua New Guinea,P105897,Reading Education Project,http://www.worldbank.org/projects/P105897?lang=en,"Vu,Binh Thanh",Specific Investment Loan,Education,Recipient Executed Activities,0,0,19.2,19.2,100%
FY11,East Asia & Pacific,Papua New Guinea,P116521,Flexible And Open Distance Education Project,http://www.worldbank.org/projects/P116521?lang=en,"Vu,Binh Thanh",Specific Investment Loan,Education,IBRD/IDA,4.45,0,0,4.45,89%
FY11,East Asia & Pacific,Philippines,P118931,Development Policy Loan To Foster More Inclusive Growth,http://www.worldbank.org/projects/P118931?lang=en,"Chua,Karl Kendrick Tiu",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,0,55,0,55,22%
FY11,East Asia & Pacific,Timor-Leste,P116520,Second Chance Education Project,http://www.worldbank.org/projects/P116520?lang=en,"Iskandar,Susiana",Specific Investment Loan,Education,IBRD/IDA,5,0,0,5,100%
FY11,East Asia & Pacific,Vietnam,P116353,Higher Education Development Policy Program - Second Operation,http://www.worldbank.org/projects/P116353?lang=en,"Vu,Binh Thanh",Development Policy Lending,Education,IBRD/IDA,50,0,0,50,100%
FY11,East Asia & Pacific,Vietnam,P125581,Vietnam Intergenerational Deaf Education Outreach Project,http://www.worldbank.org/projects/P125581?lang=en,"Vu,Anh Lan",Technical Assistance Loan,Education,Recipient Executed Activities,0,0,3,3,100%
FY11,Europe & Central Asia,Armenia,P116451,Second Development Policy Operation,http://www.worldbank.org/projects/P116451?lang=en,"Rodriguez,Pedro L.",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,3.15,0.6,0,3.75,15%
FY11,Europe & Central Asia,Armenia,P121728,Additional Financing For The 2nd Health System Modernization,http://www.worldbank.org/projects/P121728?lang=en,"Hayrapetyan,Susanna",Adaptable Program Loan,"Health, Nutrition & Population",IBRD/IDA,0,0.38,0,0.38,2%
FY11,Europe & Central Asia,Kazakhstan,P102177,Technical & Vocational Education Modernization (TVEM),http://www.worldbank.org/projects/P102177?lang=en,"Hou,Dingyong",Specific Investment Loan,Education,IBRD/IDA,0,29.23,0,29.23,100%
