Fiscal Year,Region,Country,Project ID,Project Name,URL,TTL,Lending Instrument,Sector Board,Product Line,IDA Education Commitments (US$M),IBRD Education Commitments (US$M),Other Financing for Education,Total Commitments for Education (US$M),Education as % of Total Commitment
FY15,Africa,Burkina Faso,P148062,Education Access and Quality Improvement Project (EAQIP),http://www.worldbank.org/projects/P148062?lang=en,"Ouedraogo,Adama",IPF,Education,IBRD/IDA,50,0,0,50,100%
FY15,Africa,"Congo, Democratic Republic of",P149233,Quality and Relevance of Secondary and Tertiary Education Project,http://www.worldbank.org/projects/P149233?lang=en,"Pham,Dung-Kim",IPF,Education,IBRD/IDA,200,0,0,200,100%
FY15,Africa,Cote d'Ivoire,P151844,Youth Employment and Skills Development - Additional Financing,http://www.worldbank.org/projects/P151844?lang=en,"Kamil,Hamoud Abdel Wedoud",IPF,Education,IBRD/IDA,40,0,0,40,80%
FY15,Africa,Ghana,P150856,Making the Budget Work for Ghana,http://www.worldbank.org/projects/P150856?lang=en,"Kwawukume,Smile",IPF,Governance,Recipient Executed Activities,0,0,0.43,0.43,50%
FY15,Africa,Guinea,P146474,Stepping Up Skills Project,http://www.worldbank.org/projects/P146474?lang=en,"Cloutier,Marie-Helene",IPF,Education,IBRD/IDA,19.2,0,0,19.2,96%
FY15,Africa,Kenya,P146797,Kenya GPE Primary Education Development Project,http://www.worldbank.org/projects/P146797?lang=en,"Jena,Nalin",IPF,Education,Recipient Executed Activities,0,0,88.4,88.4,100%
FY15,Africa,Liberia,P146619,Poverty Reduction Support Credit II,http://www.worldbank.org/projects/P146619?lang=en,"Graham,Errol George",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,3,0,0,3,10%
FY15,Africa,Liberia,P147967,"Youth, Employment, Skills Project - Additional Financing",http://www.worldbank.org/projects/P147967?lang=en,"Namara,Suleiman",IPF,Social Protection & Labor,Recipient Executed Activities,0,0,0.85,0.85,25%
FY15,Africa,Malawi,P148617,Strengthening Safety Nets Systems Project - Additional Financing ,http://www.worldbank.org/projects/P148617?lang=en,"Drabek,Ivan",IPF,Social Protection & Labor,IBRD/IDA,3.75,0,0,3.75,5%
FY15,Africa,Malawi,P154803,Malawi Floods Emergency Recovery,http://www.worldbank.org/projects/P154803?lang=en,"Parvez,Ayaz",IPF,"Social, Urban, Rural and Resilience Global Practice",IBRD/IDA,16,0,0,16,20%
FY15,Africa,Mali,P151318,Higher Education Support Project,http://www.worldbank.org/projects/P151318?lang=en,"Kamano,Pierre Joseph",IPF,Education,IBRD/IDA,33,0,0,33,100%
FY15,Africa,Mali,P151440,TF Stat Capacity Building Supervision,http://www.worldbank.org/projects/P151440?lang=en,"Batana,Yele Maweki",IPF,Poverty and Equity,Recipient Executed Activities,0,0,0.05,0.05,10%
FY15,Africa,Mozambique,P146602,Mozambique Higher Education Science - Additional Financing,http://www.worldbank.org/projects/P146602?lang=en,"Menezes,Ana Ruth",IPF,Education,IBRD/IDA,45,0,0,45,100%
FY15,Africa,Niger,P132405,GPE - Support to Quality Education Project,http://www.worldbank.org/projects/P132405?lang=en,"Majgaard,Kirsten",IPF,Education,Recipient Executed Activities,0,0,84.2,84.2,100%
FY15,Africa,Nigeria,P133071,State Employment and Expenditure for Results Project,http://www.worldbank.org/projects/P133071?lang=en,"Deshpande,Atul Bhalchandra",Technical Assistance Loan,Governance,Recipient Executed Activities,0,0,14,14,14%
FY15,Africa,Nigeria,P143842,Nigeria Partnership for Education Project,http://www.worldbank.org/projects/P143842?lang=en,"Adekola,Olatunde Adetoyese",Specific Investment Loan,Education,Recipient Executed Activities,0,0,89,89,89%
FY15,Africa,Nigeria,P151480,Nigeria Edo State Fiscal Improvement and Service Delivery Operation,http://www.worldbank.org/projects/P151480?lang=en,"Joseph-Raji,Gloria Aitalohi",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,15,0,0,15,20%
FY15,Africa,Senegal,P145585,Skills for jobs and competitiveness,http://www.worldbank.org/projects/P145585?lang=en,"Mulatu,Meskerem",IPF,Education,IBRD/IDA,35,0,0,35,100%
FY15,Africa,Sierra Leone,P133070,Revitalizing Education Development in Seirra Leone,http://www.worldbank.org/projects/P133070?lang=en,"Azzi-Huck,Kaliope",IPF,Education,Recipient Executed Activities,0,0,23.4,23.4,100%
FY15,Africa,Somalia,P148428,Somalia Recurrent Cost & Reform Financing Facility,http://www.worldbank.org/projects/P148428?lang=en,"Oyeyiola,Adenike Sherifat",IPF,Governance,Recipient Executed Activities,0,0,1.6,1.6,10%
FY15,Africa,Somalia,P152358,ICT Sector Support in Somalia Phase II,http://www.worldbank.org/projects/P152358?lang=en,"Kelly,Timothy John Charles",IPF,Transport & ICT,Recipient Executed Activities,0,0,2.8,2.8,20%
FY15,Africa,Somalia,P154875,Somalia Recurrent Cost & Reform Financing Project - Phase 2,http://www.worldbank.org/projects/P154875?lang=en,"Oyeyiola,Adenike Sherifat",IPF,Governance,Recipient Executed Activities,0,0,14.4,14.4,10%
FY15,Africa,South Sudan,P144139,Statistical Capacity Building Project,http://www.worldbank.org/projects/P144139?lang=en,"Pape,Utz Johann",IPF,Poverty and Equity,IBRD/IDA,0.18,0,0,0.18,2%
FY15,Africa,Tanzania,P147486,Big Results Now in Education Program,http://www.worldbank.org/projects/P147486?lang=en,"Joshi,Arun R.",P4R,Education,IBRD/IDA,122,0,0,122,100%
FY15,Africa,Tanzania,P149464,Science & Technology for Higher Education - Additional Financing,http://www.worldbank.org/projects/P149464?lang=en,"Jesse,Cornelia",IPF,Education,IBRD/IDA,15,0,0,15,100%
FY15,Africa,Togo,P146294,Education and Institutional Strengthening Project 2,http://www.worldbank.org/projects/P146294?lang=en,"Gbaye,Hyacinthe",IPF,Education,Recipient Executed Activities,0,0,27.8,27.8,100%
FY15,Africa,Uganda,P133780,Teacher and School Effectiveness Project,http://www.worldbank.org/projects/P133780?lang=en,"Mulindwa,Innocent",IPF,Education,Recipient Executed Activities,0,0,100,100,100%
FY15,Africa,Uganda,P145309,Skills Development Project,http://www.worldbank.org/projects/P145309?lang=en,"Dulvy,Elizabeth Ninan",IPF,Education,IBRD/IDA,100,0,0,100,100%
FY15,Africa,Uganda,P149286,Uganda Multisectoral Food Security and Nutrition Project,http://www.worldbank.org/projects/P149286?lang=en,"Hyder,Ziauddin",IPF,Agriculture,Recipient Executed Activities,0,0,8.29,8.29,30%
FY15,Africa,Western Africa,P150080,Sahel Women's Empowerment and Demographics Project,http://www.worldbank.org/projects/P150080?lang=en,"Lemiere,Christophe",IPF,"Health, Nutrition & Population",IBRD/IDA,34.04,0,0,34.04,20%
FY15,Africa,Zambia,P151451,Girls Education and Womens Empowerment and Livelihood Project,http://www.worldbank.org/projects/P151451?lang=en,"Tesliuc,Cornelia M.",IPF,Social Protection & Labor,IBRD/IDA,16.25,0,0,16.25,25%
FY15,Africa,Zambia,P151680,Zambia Statistical Capacity Building,http://www.worldbank.org/projects/P151680?lang=en,"Schuler,Philip M.",IPF,Macro Economics & Fiscal Management,Recipient Executed Activities,0,0,0.08,0.08,30%
FY15,East Asia & Pacific,China,P133456,Sichuan Chongqing Cooperation: Guang'an Demonstration Area I,http://www.worldbank.org/projects/P133456?lang=en,"Masic,Joanna Mclean",IPF,"Social, Urban, Rural and Resilience Global Practice",IBRD/IDA,0,3,0,3,3%
FY15,East Asia & Pacific,China,P147367,Xinjiang Technical and Vocational Education and Training Project,http://www.worldbank.org/projects/P147367?lang=en,"Xiao,Liping",IPF,Education,IBRD/IDA,0,50,0,50,100%
FY15,East Asia & Pacific,Lao People's Democratic Republic,P149130,Second Global Partnership for Education,http://www.worldbank.org/projects/P149130?lang=en,"Vu,Binh Thanh",IPF,Education,Recipient Executed Activities,0,0,16.8,16.8,100%
FY15,East Asia & Pacific,Mongolia,P150842,Transparency and Accoutability in Mongolian Education (TAME),http://www.worldbank.org/projects/P150842?lang=en,"Ali,Rabia",IPF,Education,Recipient Executed Activities,0,0,0.65,0.65,100%
FY15,East Asia & Pacific,Myanmar,P153113,National Community Driven Development Project,http://www.worldbank.org/projects/P153113?lang=en,"Wiederhofer,Ingo",IPF,"Social, Urban, Rural and Resilience Global Practice",IBRD/IDA,68,0,0,68,17%
FY15,East Asia & Pacific,Philippines,P147008,Multi Donor Facility - Mindanao Reconstruction & Development,http://www.worldbank.org/projects/P147008?lang=en,"Stephens,Matthew James Keir",IPF,"Social, Urban, Rural and Resilience Global Practice",Recipient Executed Activities,0,0,0.4,0.4,6%
FY15,East Asia & Pacific,Philippines,P147803,Third Philippines Development Policy Loan,http://www.worldbank.org/projects/P147803?lang=en,"Kaiser,Kai-Alexander",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,0,27,0,27,9%
FY15,East Asia & Pacific,Solomon Islands,P149886,Solomon Islands Recovery Financing Development Policy Operation,http://www.worldbank.org/projects/P149886?lang=en,"Haque,Tobias",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,1,0,0,1,20%
FY15,East Asia & Pacific,Tuvalu,P150194,Tuvalu Second Development Policy Operation,http://www.worldbank.org/projects/P150194?lang=en,"Pan,Lucy",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,0.3,0,0,0.3,20%
FY15,East Asia & Pacific,Vietnam,P150058,Renovation of General Education Project,http://www.worldbank.org/projects/P150058?lang=en,"Crawford,Michael F.",IPF,Education,IBRD/IDA,77,0,0,77,100%
FY15,Europe & Central Asia,Albania,P144688,Health System Improvement Project,http://www.worldbank.org/projects/P144688?lang=en,"Kostallari,Lorena",IPF,"Health, Nutrition & Population",IBRD/IDA,0,1.2,0,1.2,3%
FY15,Europe & Central Asia,Georgia,P149991,First Programmatic Inclusive Growth Development Policy Operation,http://www.worldbank.org/projects/P149991?lang=en,"Prasad,Mona",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,0,13.2,0,13.2,22%
FY15,Europe & Central Asia,Kazakhstan,P147705,SME Competitiveness Project,http://www.worldbank.org/projects/P147705?lang=en,"Assaf,Nabila",IPF,Trade & Competitiveness,IBRD/IDA,0,5.6,0,5.6,14%
FY15,Europe & Central Asia,Kazakhstan,P150183,Skills and Jobs Project,http://www.worldbank.org/projects/P150183?lang=en,"Inoue,Keiko",IPF,Education,IBRD/IDA,0,52,0,52,52%
FY15,Europe & Central Asia,Romania,P148585,Romania Secondary Education Project,http://www.worldbank.org/projects/P148585?lang=en,"Teixeira,Janssen Edelweiss Nunes",IPF,Education,IBRD/IDA,0,243.1,0,243.1,100%
FY15,Europe & Central Asia,Tajikistan,P148291,Higher Education Project,http://www.worldbank.org/projects/P148291?lang=en,"Weaver,Jason Allen",IPF,Education,IBRD/IDA,15,0,0,15,100%
FY15,Europe & Central Asia,Uzbekistan,P144856,Improving Pre-primary and General Secondary Education Project,http://www.worldbank.org/projects/P144856?lang=en,"Teixeira,Janssen Edelweiss Nunes",IPF,Education,Recipient Executed Activities,0,0,49.9,49.9,100%
FY15,Latin America & Caribbean,Argentina,P133129,Argentina Youth Employment Support Project,http://www.worldbank.org/projects/P133129?lang=en,"Salvador,Marcela Ines",IPF,Social Protection & Labor,IBRD/IDA,0,85,0,85,20%
FY15,Latin America & Caribbean,Argentina,P133195,Argentina Second Rural Education Improvement Project - PROMER II,http://www.worldbank.org/projects/P133195?lang=en,"Ambasz,Diego",IPF,Education,IBRD/IDA,0,250.5,0,250.5,100%
FY15,Latin America & Caribbean,Brazil,P130593,Acre Social and Economic Inclusion and Sustainable Development Project - Additional Financing,http://www.worldbank.org/projects/P130593?lang=en,"Goncalves Moreira,Adriana",IPF,Agriculture,IBRD/IDA,0,49.5,0,49.5,33%
FY15,Latin America & Caribbean,Brazil,P147984,Bahia Development Policy Loan (DPL),http://www.worldbank.org/projects/P147984?lang=en,"Blanco Cossio,Fernando Andres",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,0,40,0,40,10%
FY15,Latin America & Caribbean,Colombia,P148552,Collective Victims Reparation,http://www.worldbank.org/projects/P148552?lang=en,"Peeters,Pia",IPF,"Social, Urban, Rural and Resilience Global Practice",Recipient Executed Activities,0,0,0.5,0.5,15%
FY15,Latin America & Caribbean,Guyana,P129555,Guyana Early Childhood Education Project,http://www.worldbank.org/projects/P129555?lang=en,"Yang,Hongyu",IPF,Education,Recipient Executed Activities,0,0,1.7,1.7,100%
FY15,Latin America & Caribbean,Jamaica,P148013,Youth Employment in Digital and Animation Industries,http://www.worldbank.org/projects/P148013?lang=en,"Pittaluga,Fabio",IPF,"Social, Urban, Rural and Resilience Global Practice",IBRD/IDA,0,4,0,4,20%
FY15,Latin America & Caribbean,Mexico,P147185,Mexico School Based Management Project,http://www.worldbank.org/projects/P147185?lang=en,"De Hoyos Navarro,Rafael E.",IPF,Education,IBRD/IDA,0,350,0,350,100%
FY15,Latin America & Caribbean,Mexico,P149858,Mexico Reducing Inequality of Educational Opportunity Project,http://www.worldbank.org/projects/P149858?lang=en,"Avitabile,Ciro",IPF,Education,IBRD/IDA,0,150,0,150,100%
FY15,Latin America & Caribbean,Panama,P151804,First Programmatic Shared Prosperity Development Policy Loan (DPL),http://www.worldbank.org/projects/P151804?lang=en,"Koehler-Geib,Friederike N.",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,0,42,0,42,14%
FY15,Latin America & Caribbean,Peru,P149831,Peru Second Development Policy Loan (DPL) with a Catastrophe Deferred Drawdown Option,http://www.worldbank.org/projects/P149831?lang=en,"Ramirez Cortes,Fernando",Development Policy Lending,"Social, Urban, Rural and Resilience Global Practice",IBRD/IDA,0,80,0,80,20%
FY15,Middle East & North Africa,Djibouti,P148586,Enhancing Income Opportunities in Djibouti,http://www.worldbank.org/projects/P148586?lang=en,"Koettl - Brodmann,Stefanie",IPF,Social Protection & Labor,Recipient Executed Activities,0,0,0.55,0.55,20%
FY15,Middle East & North Africa,Jordan,P154047,Strengthening Accountability for Improved Education Service,http://www.worldbank.org/projects/P154047?lang=en,"Halabi,Samira",IPF,Education,Recipient Executed Activities,0,0,0.82,0.82,100%
FY15,Middle East & North Africa,Lebanon,P152898,Emergency Education System Stabilization,http://www.worldbank.org/projects/P152898?lang=en,"Yarrow,Noah Bunce",IPF,Education,Recipient Executed Activities,0,0,32,32,100%
FY15,Middle East & North Africa,Morocco,P144185,Second Skills and Employment Development Policy Loan (DPL),http://www.worldbank.org/projects/P144185?lang=en,"Angel-Urdinola,Diego",Development Policy Lending,Social Protection & Labor,IBRD/IDA,0,50,0,50,50%
FY15,Middle East & North Africa,Morocco,P150875,LEAD Project Linking Education and Accountability for Develoment,http://www.worldbank.org/projects/P150875?lang=en,"Wright,Christina D.",IPF,Governance,Recipient Executed Activities,0,0,0.72,0.72,100%
FY15,Middle East & North Africa,Tunisia,P150877,The National Network of Social Accountability,http://www.worldbank.org/projects/P150877?lang=en,"Bessette,Franck",IPF,Governance,Recipient Executed Activities,0,0,0.24,0.24,30%
FY15,Middle East & North Africa,"Yemen, Republic of",P148366,Labor Intensive Public Works - Additional Financing,http://www.worldbank.org/projects/P148366?lang=en,"Beddies,Sabine W.",IPF,"Social, Urban, Rural and Resilience Global Practice",IBRD/IDA,20,0,0,20,40%
FY15,Middle East & North Africa,"Yemen, Republic of",P150129,Higher Education Quality Improvement Project - Additional Financing,http://www.worldbank.org/projects/P150129?lang=en,"Wang,Lianqin",IPF,Education,IBRD/IDA,3,0,0,3,100%
FY15,South Asia,Bangladesh,P146464,Multipurpose Disaster Shelter Project,http://www.worldbank.org/projects/P146464?lang=en,"O'Donnell,Anna C.",IPF,"Social, Urban, Rural and Resilience Global Practice",IBRD/IDA,33.75,0,0,33.75,9%
FY15,South Asia,Bangladesh,P150669,Bangladesh - Primary Education Development Program - Additional Financing,http://www.worldbank.org/projects/P150669?lang=en,"Vawda,Ayesha Y.",IPF,Education,IBRD/IDA,400,0,0,400,100%
FY15,South Asia,India,P132665,India: Enhancing Teacher Effectiveness in Bihar,http://www.worldbank.org/projects/P132665?lang=en,"Sinha,Shabnam",P4R,Education,IBRD/IDA,250,0,0,250,100%
FY15,South Asia,India,P143608,Telangana Rural Inclusive Growth Project,http://www.worldbank.org/projects/P143608?lang=en,"Shah,Parmesh",Specific Investment Loan,Agriculture,IBRD/IDA,4.5,0,0,4.5,6%
FY15,South Asia,India,P150394,MP Higher Education Quality Improvement Project,http://www.worldbank.org/projects/P150394?lang=en,"Linden,Tobias",IPF,Education,IBRD/IDA,300,0,0,300,100%
FY15,South Asia,India,P152210,India: Andhra Pradesh Rural Inclusive Growth Project,http://www.worldbank.org/projects/P152210?lang=en,"Shah,Parmesh",IPF,Agriculture,IBRD/IDA,4.5,0,0,4.5,6%
FY15,South Asia,India,P154990,Jhelum and Tawi Flood Recovery Project,http://www.worldbank.org/projects/P154990?lang=en,"Dani,Saurabh Suresh",IPF,"Social, Urban, Rural and Resilience Global Practice",IBRD/IDA,35,0,0,35,14%
FY15,South Asia,Nepal,P147010,Higher Education Reforms Project,http://www.worldbank.org/projects/P147010?lang=en,"Aryal,Mohan Prasad",IPF,Education,IBRD/IDA,65,0,0,65,100%
FY15,South Asia,Pakistan,P130193,Punjab Skills Development,http://www.worldbank.org/projects/P130193?lang=en,"Latif,Scherezad Joya Monami",IPF,Education,IBRD/IDA,50,0,0,50,100%
FY15,South Asia,Pakistan,P144454,Global Partnership for Education - Balochistan Education Project,http://www.worldbank.org/projects/P144454?lang=en,"Arif,Umbreen",IPF,Education,Recipient Executed Activities,0,0,34,34,100%
FY15,South Asia,Pakistan,P146451,Sindh Global Partnership for Education Project,http://www.worldbank.org/projects/P146451?lang=en,"Arif,Umbreen",IPF,Education,Recipient Executed Activities,0,0,66,66,100%
FY15,South Asia,Sri Lanka,P151916,Early Childhood Development Project,http://www.worldbank.org/projects/P151916?lang=en,"Bhatta,Saurav Dev",IPF,Education,IBRD/IDA,50,0,0,50,100%
FY14,Africa,Africa,P113629,Centre For Coordination Of Agricultural Research And Development for Southern Africa,http://www.worldbank.org/projects/P113629?lang=en,"Brown,Melissa",IPF,Agriculture,Recipient Executed Activities,0,0,2.6,2.6,10%
FY14,Africa,Africa,P126974,Higher Education Centers Of Excellence Project,http://www.worldbank.org/projects/P126974?lang=en,"Blom,Andreas",Specific Investment Loan,Education,IBRD/IDA,90,0,0,90,60%
FY14,Africa,Angola,P122700,Learning For All Project,http://www.worldbank.org/projects/P122700?lang=en,"Panasco Santos,Cristina Isabel",Specific Investment Loan,Education,IBRD/IDA,75,0,0,75,100%
FY14,Africa,Benin,P129600,Global Partnership For Education Program,http://www.worldbank.org/projects/P129600?lang=en,"Gbaye,Hyacinthe",IPF,Education,Recipient Executed Activities,0,0,42.3,42.3,100%
FY14,Africa,Benin,P132667,Youth Employment,http://www.worldbank.org/projects/P132667?lang=en,"Van Dyck,John",Specific Investment Loan,Social Protection & Labor,IBRD/IDA,6.3,0,0,6.3,18%
FY14,Africa,Benin,P146597,Decentralized Community Driven Services Project - Additional Financing,http://www.worldbank.org/projects/P146597?lang=en,"Van Dyck,John",IPF,Social Protection & Labor,IBRD/IDA,4.8,0,0,4.8,16%
FY14,Africa,Cabo Verde,P127411,Poverty Reduction Support Credit VIII,http://www.worldbank.org/projects/P127411?lang=en,"Hanusch,Marek",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,1.4,0,0,1.4,9%
FY14,Africa,Cameroon,P133338,Equity And Quality For Improved Learning Project,http://www.worldbank.org/projects/P133338?lang=en,"Sosale,Shobhana",IPF,Education,Recipient Executed Activities,0,0,53.3,53.3,100%
FY14,Africa,"Congo, Democratic Republic of",P145196,Eastern Recovery Project,http://www.worldbank.org/projects/P145196?lang=en,"Tovo,Maurizia",IPF,Social Protection & Labor,IBRD/IDA,7.91,0,0,7.91,10%
FY14,Africa,"Congo, Democratic Republic of",P145965,Human Development Systems Strengthening Project,http://www.worldbank.org/projects/P145965?lang=en,"Laviolette,Luc",IPF,"Health, Nutrition & Population",IBRD/IDA,4.35,0,0,4.35,29%
FY14,Africa,"Congo, Republic of",P128628,Skills Development For Employability Project,http://www.worldbank.org/projects/P128628?lang=en,"Gavach,Celine",IPF,Education,IBRD/IDA,10,0,0,10,100%
FY14,Africa,Ethiopia,P129828,General Education Quality Improvement Project II,http://www.worldbank.org/projects/P129828?lang=en,"Mai,Thanh Thi",IPF,Education,IBRD/IDA,126.1,0,0,126.1,97%
FY14,Africa,Ethiopia,P143302,Competitiveness And Job Creation Project,http://www.worldbank.org/projects/P143302?lang=en,"Akhlaque,Asya",IPF,Trade & Competitiveness,IBRD/IDA,2.5,0,0,2.5,1%
FY14,Africa,"Gambia, The",P133079,READ: Results For Education Achievement And Development Project,http://www.worldbank.org/projects/P133079?lang=en,"Tomita,Ryoko",IPF,Education,IBRD/IDA,11.42,0,0,11.42,96%
FY14,Africa,Ghana,P144140,eTransform Ghana,http://www.worldbank.org/projects/P144140?lang=en,"Safdar,Zaid",Specific Investment Loan,Transport & ICT,IBRD/IDA,7.76,0,0,7.76,8%
FY14,Africa,Ghana,P145741,Secondary Education Improvement Project,http://www.worldbank.org/projects/P145741?lang=en,"Mikesell,Deborah Newitter",IPF,Education,IBRD/IDA,156,0,0,156,100%
FY14,Africa,Ghana,P148224,Additional Financing For Ghana Oil And Gas Capacity Building Project,http://www.worldbank.org/projects/P148224?lang=en,"Santley,David John",IPF,Energy & Extractives,IBRD/IDA,4.95,0,0,4.95,25%
FY14,Africa,Guinea-Bissau,P146746,Rural Community-Driven Development Project Additional Financing,http://www.worldbank.org/projects/P146746?lang=en,"Auffret,Philippe",IPF,Social Protection & Labor,IBRD/IDA,6.9,0,0,6.9,46%
FY14,Africa,Madagascar,P132616,Emergency Support To Education For All Project,http://www.worldbank.org/projects/P132616?lang=en,"Rasolonjatovo Andriamiham,Harisoa Danielle",Emergency Recovery Loan,Education,Recipient Executed Activities,0,0,85.4,85.4,100%
FY14,Africa,Malawi,P131660,Skills Development Project,http://www.worldbank.org/projects/P131660?lang=en,"Tanaka,Nobuyuki",IPF,Education,IBRD/IDA,50.9,0,0,50.9,100%
FY14,Africa,Malawi,P133620,Strengthening Safety Nets Systems - MASAF IV,http://www.worldbank.org/projects/P133620?lang=en,"Pojarski,Peter Ivanov",IPF,Social Protection & Labor,IBRD/IDA,1.64,0,0,1.64,5%
FY14,Africa,Mali,P123503,Emergency Education For All Project,http://www.worldbank.org/projects/P123503?lang=en,"Kamano,Pierre Joseph",IPF,Education,Recipient Executed Activities,0,0,41.7,41.7,100%
FY14,Africa,Mali,P144442,Reconstruction And Economic Recovery,http://www.worldbank.org/projects/P144442?lang=en,"Coulibaly,Zie Ibrahima",Emergency Recovery Loan,"Social, Urban, Rural and Resilience Global Practice",IBRD/IDA,17,0,0,17,17%
FY14,Africa,Mali,P145861,Skills Development And Youth Employment Project,http://www.worldbank.org/projects/P145861?lang=en,"Gavach,Celine",IPF,Education,IBRD/IDA,31.5,0,0,31.5,50%
FY14,Africa,Mauritania,P126902,Basic Education Sector Support Project,http://www.worldbank.org/projects/P126902?lang=en,"Appasamy,Irajen",Specific Investment Loan,Education,Recipient Executed Activities,0,0,12.4,12.4,100%
FY14,Africa,Mauritania,P132998,Sustainable Livelihoods For Returnees And Host Communities In The Senegal River Valley,http://www.worldbank.org/projects/P132998?lang=en,"Fraiji,Abderrahim",Emergency Recovery Loan,"Social, Urban, Rural and Resilience Global Practice",Recipient Executed Activities,0,0,0.57,0.57,20%
FY14,Africa,Mauritania,P144575,Skills Development Project-Additional Financing,http://www.worldbank.org/projects/P144575?lang=en,"Appasamy,Irajen",IPF,Education,IBRD/IDA,11.3,0,0,11.3,100%
FY14,Africa,Mozambique,P124615,Public Financial Management For Results Program,http://www.worldbank.org/projects/P124615?lang=en,"Saleem,Furqan Ahmad",P4R,Governance,IBRD/IDA,15,0,0,15,30%
FY14,Africa,Mozambique,P147835,"Social Accountability Knowledge, Skills, Action And Networking",http://www.worldbank.org/projects/P147835?lang=en,"Nombora,Dionisio Augusto",IPF,Governance,Recipient Executed Activities,0,0,0.35,0.35,50%
FY14,Africa,Niger,P145251,Third Shared Growth Credit,http://www.worldbank.org/projects/P145251?lang=en,"Herderschee,Johannes",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,7,0,0,7,10%
FY14,Africa,Niger,P145261,Public Sector Capacity And Performance For Service Delivery,http://www.worldbank.org/projects/P145261?lang=en,"Mallberg,Michel Ragnvald",IPF,Governance,IBRD/IDA,5.2,0,0,5.2,13%
FY14,Africa,Nigeria,P148215,Community And Social Development Additional Financing,http://www.worldbank.org/projects/P148215?lang=en,"Okunmadewa,Foluso",IPF,Other,IBRD/IDA,9.8,0,0,9.8,7%
FY14,Africa,Nigeria,P148593,Lagos Eko Secondary Education Project Additional Financing,http://www.worldbank.org/projects/P148593?lang=en,"Adekola,Olatunde Adetoyese",IPF,Education,IBRD/IDA,42.3,0,0,42.3,100%
FY14,Africa,Sao Tome and Principe,P146877,Quality Education For All,http://www.worldbank.org/projects/P146877?lang=en,"Seck,Atou",IPF,Education,IBRD/IDA,0.9,0,0,0.9,100%
FY14,Africa,Sao Tome and Principe,P150828,Quality Education For All - Additional Financing,http://www.worldbank.org/projects/P150828?lang=en,"Seck,Atou",IPF,Education,IBRD/IDA,3.5,0,0,3.5,100%
FY14,Africa,Senegal,P126470,Second Governance And Growth Support Credit,http://www.worldbank.org/projects/P126470?lang=en,"English,E. Philip",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,3.6,0,0,3.6,12%
FY14,Africa,Sierra Leone,P133107,Sixth Governance Reform And Growth Grant,http://www.worldbank.org/projects/P133107?lang=en,"Talati,Cyrus P.",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,2.75,0,0,2.75,11%
FY14,Africa,Sierra Leone,P143588,Safety Nets Project,http://www.worldbank.org/projects/P143588?lang=en,"Rosas Raffo,Nina",IPF,Social Protection & Labor,IBRD/IDA,1.19,0,0,1.19,17%
FY14,Africa,Sudan,P146279,Sudan Peacebuilding For Development Project - Phase Two,http://www.worldbank.org/projects/P146279?lang=en,"Fraiji,Abderrahim",IPF,"Social, Urban, Rural and Resilience Global Practice",Recipient Executed Activities,0,0,2,2,40%
FY14,Africa,Uganda,P145101,Albertine Region Sustainable Development Project,http://www.worldbank.org/projects/P145101?lang=en,"Cira,Dean A.",IPF,"Social, Urban, Rural and Resilience Global Practice",IBRD/IDA,29,0,0,29,20%
FY14,East Asia & Pacific,Cambodia,P144715,Global Partnership For Education Second Education Support Project,http://www.worldbank.org/projects/P144715?lang=en,"Beng,Simeth",IPF,Education,Recipient Executed Activities,0,0,38.5,38.5,100%
FY14,East Asia & Pacific,China,P129791,Fujian Fishing Ports Project,http://www.worldbank.org/projects/P129791?lang=en,"Hu,Shunong",IPF,"Social, Urban, Rural and Resilience Global Practice",IBRD/IDA,0,6,0,6,10%
FY14,East Asia & Pacific,Indonesia,P147658,Additional Financing PNPM Generasi Program,http://www.worldbank.org/projects/P147658?lang=en,"Wrobel,Robert",IPF,"Social, Urban, Rural and Resilience Global Practice",Recipient Executed Activities,0,0,45.51,45.51,30%
FY14,East Asia & Pacific,Indonesia,P149737,PNPM Peduli - TF Additional Financing,http://www.worldbank.org/projects/P149737?lang=en,"Hayward,Natasha",IPF,Recipient Executed Activities,"Social, Urban, Rural and Resilience Global Practice",0,0,0.14,0.14,20%
FY14,East Asia & Pacific,Lao People's Democratic Republic,P143025,Ninth Poverty Reduction Support Operation,http://www.worldbank.org/projects/P143025?lang=en,"Record,Richard James Lowden",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,4.2,0,0,4.2,21%
